City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,balotra,25.8333,72.2333,31.0,25,0,2.12,IN,1730644994
117,kapa'a,22.0752,-159.319,25.18,89,0,6.69,US,1730644945
118,bonthe,7.5264,-12.505,29.96,63,66,3.97,SL,1730644996
119,lompoc,34.6391,-120.4579,10.94,79,0,4.63,US,1730644997
120,hadibu,12.65,54.0333,27.02,79,37,2.6,YE,1730644998
121,kourou,5.1552,-52.6478,31.94,56,14,4.26,GF,1730644999
122,nuuk,64.1835,-51.7216,-2.66,80,20,5.66,GL,1730645000
123,prince george,53.9166,-122.753,0.9,99,100,5.66,CA,1730645001
124,kargopol',61.5071,38.9456,-3.54,90,24,1.92,RU,1730645002
125,polyarnyy,69.1989,33.4478,-0.98,83,100,9.4,RU,1730645005
126,singaparna,-7.3515,108.111,23.07,92,100,0.57,ID,1730645006
127,isafjordur,66.0755,-23.124,11.02,66,100,8.75,IS,1730645007
128,ifaki,7.7894,5.2485,28.42,57,86,2.27,NG,1730645008
129,san andres,12.5847,-81.7006,28.01,89,20,1.54,CO,1730645009
130,hami,42.8,93.45,8.91,36,10,2.03,CN,1730644753
131,mejit,10.2753,170.8646,27.1,82,100,8.36,MH,1730645011
132,peniche,39.3558,-9.3811,22.34,73,100,3.54,PT,1730645012
133,babu,24.4167,111.5167,21.42,77,100,1.24,CN,1730645013
134,avarua,-21.2078,-159.775,23.03,83,20,3.09,CK,1730645015
135,rabo de peixe,37.8,-25.5833,20.73,99,40,9.26,PT,1730645016
136,new norfolk,-42.7826,147.0587,12.73,75,100,2.94,AU,1730645017
137,ribeira grande,38.5167,-28.7,22.1,73,40,7.2,PT,1730645018
138,buon ma thuot,12.6667,108.05,21.04,95,97,2.82,VN,1730645019
139,hamilton,39.1834,-84.5333,13.06,64,40,2.57,US,1730645020
140,st. john's,47.5649,-52.7093,5.71,65,49,2.24,CA,1730644877
141,san patricio,28.017,-97.5169,25.97,67,1,8.52,US,1730645022
142,lihue,21.9789,-159.3672,24.77,84,0,6.69,US,1730645023
143,lebu,-37.6167,-73.65,13.67,71,100,7.24,CL,1730645024
144,machina,13.1364,10.0492,32.79,11,97,5.91,NG,1730645026
145,brejo da madre de deus,-8.1458,-36.3711,32.16,27,4,5.39,BR,1730645027
146,cozumel,20.5083,-86.9458,28.3,78,20,2.57,MX,1730644904
147,queenstown,-31.8976,26.8753,24.79,45,97,1.54,ZA,1730645029
148,bunia,1.5667,30.25,22.16,76,100,2.23,CD,1730645030
149,pingliang,35.5392,106.6861,9.04,50,100,1.98,CN,1730644753
150,iskateley,67.6803,53.1512,-5.85,91,100,4.18,RU,1730645032
151,dolores,-36.3132,-57.6792,22.52,37,90,5.91,AR,1730645034
152,sao joao da barra,-21.6403,-41.0511,28.05,81,100,6.08,BR,1730645035
153,nagqu,31.5,92.0,-0.12,27,100,2.09,CN,1730645036
154,nanping,26.645,118.1736,21.3,85,99,0.82,CN,1730645037
155,gazli,40.1333,63.45,19.56,37,93,4.26,UZ,1730645038
156,ust-nera,64.5667,143.2,-23.87,100,99,2.23,RU,1730645039
157,haiku-pauwela,20.9219,-156.3051,22.33,81,40,4.92,US,1730645040
158,keita,14.7551,5.7749,32.3,12,96,6.63,NE,1730645041
159,hermanus,-34.4187,19.2345,19.33,73,100,11.13,ZA,1730645042
160,ushuaia,-54.8,-68.3,10.81,58,75,4.63,AR,1730645043
161,juneau,58.3019,-134.4197,6.0,95,100,7.2,US,1730645044
162,labytnangi,66.6572,66.4183,-1.05,96,100,10.18,RU,1730645045
163,zouerate,22.7187,-12.4521,33.09,12,2,2.55,MR,1730645047
164,kontcha,7.9667,12.2333,31.85,32,100,2.18,CM,1730645048
165,arraial do cabo,-22.9661,-42.0278,27.98,74,40,9.77,BR,1730645049
166,sibanicu,21.235,-77.5264,29.28,60,49,8.47,CU,1730645050
167,sorong,-0.8833,131.25,26.09,85,71,3.78,ID,1730645051
168,smithers,54.7804,-127.1743,0.18,93,75,0.0,CA,1730645052
169,namibe,-15.1961,12.1522,22.66,70,56,5.04,AO,1730645053
170,atafu village,-8.5421,-172.5159,28.09,69,97,3.08,TK,1730645054
171,argostolion,38.1811,20.489,23.04,50,20,3.09,GR,1730645055
172,alibag,18.6411,72.8792,28.38,71,6,2.47,IN,1730645056
173,kampene,-3.6,26.6667,24.39,90,93,1.14,CD,1730645057
174,egersund,58.4513,5.9997,11.43,97,100,7.44,NO,1730645059
175,karratha,-20.7377,116.8463,32.47,32,9,5.85,AU,1730645060
176,port saint john's,-31.6229,29.5448,21.19,90,100,5.07,ZA,1730645061
177,viedma,-40.8135,-62.9967,23.35,21,100,10.67,AR,1730645005
178,nadi,-17.8,177.4167,24.0,83,20,2.57,FJ,1730645063
179,qarauyl,48.9451,79.255,7.52,65,92,6.25,KZ,1730645064
180,masally,39.0,48.6667,14.23,76,99,2.85,AZ,1730645065
181,khovd,48.0056,91.6419,-1.56,52,12,0.57,MN,1730645066
182,keflavik,64.0049,-22.5624,10.24,100,100,10.8,IS,1730645067
183,grand prairie,32.746,-96.9978,23.69,87,100,7.2,US,1730644887
184,buala,-8.145,159.5921,26.16,85,74,1.45,SB,1730645069
185,kapuskasing,49.4169,-82.4331,2.05,100,75,4.12,CA,1730645071
186,shuya,56.8487,41.3883,-3.0,89,69,2.62,RU,1730645072
187,coari,-4.085,-63.1414,37.83,29,100,1.83,BR,1730645073
188,san antonio de pale,-1.4014,5.6325,25.53,81,48,5.76,GQ,1730645074
189,villa de soto,-30.8552,-64.9995,23.48,39,94,5.53,AR,1730645075
190,mount isa,-20.7333,139.5,20.87,28,5,2.06,AU,1730645076
191,tralee,52.2704,-9.7026,14.14,82,100,5.14,IE,1730645078
192,ola,59.5833,151.2833,-11.56,72,81,5.62,RU,1730645080
193,codrington,-38.2667,141.9667,13.65,54,100,6.5,AU,1730645081
194,bechar,31.6167,-2.2167,20.18,42,40,3.09,DZ,1730645082
195,betio village,1.358,172.9211,27.02,72,100,2.31,KI,1730645083
196,santo antonio do ica,-3.1022,-67.9397,29.19,70,100,1.05,BR,1730645084
197,cabo san lucas,22.8909,-109.9124,22.09,60,64,3.58,MX,1730645085
198,afaahiti,-17.75,-149.2833,23.8,72,21,1.61,PF,1730645086
199,udachny,66.4167,112.4,-28.84,100,49,0.93,RU,1730645087
200,kattivakkam,13.2167,80.3167,29.52,87,3,3.65,IN,1730645088
201,sandpoint,48.2766,-116.5533,3.92,96,100,3.09,US,1730645090
202,selfoss,63.9331,-20.9971,6.5,98,100,2.97,IS,1730645091
203,jiexiu,37.0244,111.9125,10.34,34,61,2.14,CN,1730645092
204,caconda,-13.7333,15.0667,18.96,70,100,1.49,AO,1730645093
205,papao,-17.75,-149.55,21.82,70,26,0.42,PF,1730645094
206,dudinka,69.4058,86.1778,-8.2,87,85,5.8,RU,1730645095
207,berriozar,42.8429,-1.6697,19.09,59,40,5.14,ES,1730645096
208,koulikoro,14.0,-7.75,35.31,17,73,2.91,ML,1730645097
209,puerto ayora,-0.7393,-90.3518,21.35,67,77,4.75,EC,1730645098
